class,year,surface
Forêt,"1985-01-01",3.865
"Agriculture (dont pâturage)","1985-01-01",0.139
Forêt,"1986-01-01",3.842
"Agriculture (dont pâturage)","1986-01-01",0.144
Forêt,"1987-01-01",3.818
"Agriculture (dont pâturage)","1987-01-01",0.166
Forêt,"1988-01-01",3.800
"Agriculture (dont pâturage)","1988-01-01",0.183
Forêt,"1989-01-01",3.784
"Agriculture (dont pâturage)","1989-01-01",0.196
Forêt,"1990-01-01",3.796
"Agriculture (dont pâturage)","1990-01-01",0.189
Forêt,"1991-01-01",3.783
"Agriculture (dont pâturage)","1991-01-01",0.200
Forêt,"1992-01-01",3.761
"Agriculture (dont pâturage)","1992-01-01",0.224
Forêt,"1993-01-01",3.746
"Agriculture (dont pâturage)","1993-01-01",0.236
Forêt,"1994-01-01",3.736
"Agriculture (dont pâturage)","1994-01-01",0.249
Forêt,"1995-01-01",3.709
"Agriculture (dont pâturage)","1995-01-01",0.279
Forêt,"1996-01-01",3.679
"Agriculture (dont pâturage)","1996-01-01",0.303
Forêt,"1997-01-01",3.657
"Agriculture (dont pâturage)","1997-01-01",0.327
Forêt,"1998-01-01",3.649
"Agriculture (dont pâturage)","1998-01-01",0.342
Forêt,"1999-01-01",3.619
"Agriculture (dont pâturage)","1999-01-01",0.363
Forêt,"2000-01-01",3.603
"Agriculture (dont pâturage)","2000-01-01",0.380
Forêt,"2001-01-01",3.593
"Agriculture (dont pâturage)","2001-01-01",0.390
Forêt,"2002-01-01",3.575
"Agriculture (dont pâturage)","2002-01-01",0.414
Forêt,"2003-01-01",3.539
"Agriculture (dont pâturage)","2003-01-01",0.438
Forêt,"2004-01-01",3.520
"Agriculture (dont pâturage)","2004-01-01",0.461
Forêt,"2005-01-01",3.502
"Agriculture (dont pâturage)","2005-01-01",0.480
Forêt,"2006-01-01",3.482
"Agriculture (dont pâturage)","2006-01-01",0.500
Forêt,"2007-01-01",3.449
"Agriculture (dont pâturage)","2007-01-01",0.533
Forêt,"2008-01-01",3.452
"Agriculture (dont pâturage)","2008-01-01",0.526
Forêt,"2009-01-01",3.427
"Agriculture (dont pâturage)","2009-01-01",0.550
Forêt,"2010-01-01",3.434
"Agriculture (dont pâturage)","2010-01-01",0.554
Forêt,"2011-01-01",3.433
"Agriculture (dont pâturage)","2011-01-01",0.554
Forêt,"2012-01-01",3.433
"Agriculture (dont pâturage)","2012-01-01",0.548
Forêt,"2013-01-01",3.431
"Agriculture (dont pâturage)","2013-01-01",0.554
Forêt,"2014-01-01",3.421
"Agriculture (dont pâturage)","2014-01-01",0.559
Forêt,"2015-01-01",3.414
"Agriculture (dont pâturage)","2015-01-01",0.562
Forêt,"2016-01-01",3.408
"Agriculture (dont pâturage)","2016-01-01",0.574
Forêt,"2017-01-01",3.400
"Agriculture (dont pâturage)","2017-01-01",0.576
Forêt,"2018-01-01",3.392
"Agriculture (dont pâturage)","2018-01-01",0.587
